tag,des,des_2
DB09568,"The omega-3 carboxylic acid (OM3-CA) is a new formulation of omega-3 fatty acids that present an enhanced bioavailability in the treatment of dyslipidemia.  The increased bioavailability is explained because OM3-CA is found in a form of polyunsaturated free fatty acids as opposed to other products whose form is as ethyl esters. It is a complex mixture of the free fatty acids form containing eicosapentaenoic acid and docosahexaenoic acid as the most abundant species found in a proportion of 55% and 20% respectively. The rest of the concentration is represented by docosapentaenoic acid and traces of some other components such as alpha-tocopherol, gelatin, glycerol, sorbitol and purified water.[A25808] It was developed by AstraZeneca Pharmaceuticals and firstly approved by the FDA on May 05, 2014.[L2386]","Hypertriglyceridemia is defined as an elevated plasma triglyceride concentration. It is usually correlated to other secondary conditions such as poor diet, alcohol use, obesity, metabolic syndrome and type 2 diabetes.[A32630]"
DB09570,"Ixazomib a second generation proteasome inhibitor (PI) and the first oral PI approved by the FDA in November 2015 for multiple myeloma treatment in combination with 2 other therapies (lenalidomide and dexamethasone) for patients who have received at least 1 prior therapy. It was found to have similar efficacy to bortezomib (the first PI approved for multiple myeloma therapy) in the control of myeloma growth and prevention of bone loss. Ixazomib citrate is marketed by Takeda Pharmaceuticals under the brand name Ninlaro, which is a prodrug that becomes quickly converted to its active metabolite, ixazomib, after administration.",Ixazomib is indicated in combination with lenalidomide and dexamethasone for the treatment of patients with multiple myeloma who have received at least one prior therapy. 
DB09571,"Levomethamphetamine, the L-enantiomer of methamphetamine is a sympathomimetic vasoconstrictor used in some over-the-counter (OTC) nasal decongestant inhalers in the United States.",Used over-the-counter for nasal congestion.
DB09876,,
DB09877,"*Corynebacterium diphtheriae* toxin is extracted from the pathogenic actinobacterium *C. diphtheriae* that causes diphtheria. The bacteria culture is grown in a medium and through purification, diphtheria toxin is detoxified with formaldehyde and diafiltered. The vaccine is intramuscularly administered to provide active immunization against diphtheria in infants and children.",
DB10061,,
DB10062,,
DB10076,"Haemophilus influenzae type b strain 1482 capsular polysaccharide tetanus toxoid conjugate antigen is a vaccine for intramuscular injection used in the prevention of invasive disease caused by *Haemophilus influenzae* type b. *H. influenzae* is a Gram-negative coccobacillus that can cause infections including sepsis and meningitis. The vaccine contains the *Haemophilus influenzae* type b capsular polysaccharide (polyribosyl-ribitol-phosphate, PRP), a high-molecular-weight polymer prepared from the *H. influenzae* type b strain 1482 grown in a semi-synthetic medium, covalently bound to tetanus toxoid [L1007]. The toxoid antigen is purified and toxin-inactivated.",
DB10276,"Rotavirus commonly infects children and infants causing severe diarrhea and vomiting leading to potentially fatal dehydration.[L1117] Two rotavirus vaccines are available for the prevention of rotavirus gastroenteritis, Rotateq and Rotarix. Rotateq is a live vaccine consisting of 5 reassorted human-bovine viral strains.[L1116] Rotarix is a live attenuated vaccine containing the 89-12 human strain.[Label] Rotavirus vaccines are 90% effective in protecting against severe rotavirus infection.[L1117]","Rotateq is indicated for the prevention of rotavirus gastroenteritis caused by G1, G2, G3, G4, and G9 types in infants aged 6-32 weeks [L1116]."
DB10283,"Rabies virus inactivated antigen, A is an inactivated virus vacine for the intramuscular injection. It is an active immunization against rabies that can be administered pre- or post-exposure to the rabies virus.",
DB10284,"Neisseria meningitidis serogroup B recombinant lp2086 a05 protein variant antigen is a sterile vaccine for intramuscular injection indicated for the active immunization to prevent invasive disease caused by *Neisseria meningitidis* serogroup B. It is contained in the suspension of Trumenba, which is a vaccine is composed of two recombinant lipidated factor H binding protein (fHBP) variants from N. meningitidis serogroup B, one from fHBP subfamily A and one from subfamily B (A05 and B01, respectively).",
DB10285,"Neisseria meningitidis serogroup b recombinant lp2086 b01 protein variant antigen is a sterile vaccine for intramuscular injection indicated for the active immunization to prevent invasive disease caused by *Neisseria meningitidis* serogroup B. It is contained in the suspension of Trumenba, which is a vaccine is composed of two recombinant lipidated factor H binding protein (fHBP) variants from N. meningitidis serogroup B, one from fHBP subfamily A and one from subfamily B (A05 and B01, respectively).",
DB10286,"Streptococcus pneumoniae type 4 capsular polysaccharide diphtheria crm197 protein conjugate antigen is a sterile vaccine that contains saccharides of the capsular antigens of *Streptococcus pneumoniae* serotype 4 individually conjugated to the CRM197 protein, a nontoxic variant of diphtheria toxin isolated from cultures of *Corynebacterium diphtheriae* strain C7 (¦Â197) . It is contained in the vaccine under the market name Prevnar that contains the saccharides for serotypes 4, 6B, 9V, 14, 18C, 19F, and 23F for intramuscular injection. The saccharides in the vaccine are prepared from purified polysaccharides that are chemically activated then conjugated to the protein carrier CRM197 to form the glycoconjugate.",
DB10287,"Streptococcus pneumoniae type 6b capsular polysaccharide diphtheria crm197 protein conjugate antigen is a sterile vaccine that contains saccharides of the capsular antigens of *Streptococcus pneumoniae* serotype 6b individually conjugated to the CRM197 protein, a nontoxic variant of diphtheria toxin isolated from cultures of *Corynebacterium diphtheriae* strain C7 (¦Â197) . It is contained in the vaccine under the market name Prevnar that contains the saccharides for serotypes 4, 6B, 9V, 14, 18C, 19F, and 23F for intramuscular injection. The saccharides in the vaccine are prepared from purified polysaccharides that are chemically activated then conjugated to the protein carrier CRM197 to form the glycoconjugate.",
DB10288,"Streptococcus pneumoniae type 9v capsular polysaccharide diphtheria crm197 protein conjugate antigen is a sterile vaccine that contains saccharides of the capsular antigens of *Streptococcus pneumoniae* serotype 9v individually conjugated to the CRM197 protein, a nontoxic variant of diphtheria toxin isolated from cultures of *Corynebacterium diphtheriae* strain C7 (¦Â197) . It is contained in the vaccine under the market name Prevnar that contains the saccharides for serotypes 4, 6B, 9V, 14, 18C, 19F, and 23F for intramuscular injection. The saccharides in the vaccine are prepared from purified polysaccharides that are chemically activated then conjugated to the protein carrier CRM197 to form the glycoconjugate.",
